series,season,episode,episode_name,air_date,summary,mini_challenge,main_challenge,mini_challenge_winner,runway_theme
Rupaul's Drag Race,2,2,"""Starrbootylicious""",2010-02-08,"
The remaining 11 queens are tasked with turning a mini Ru doll into a bad girl in pairs. Pandora Boxx and Sahara Davenport win the mini-challenge, making them team captains for the main challenge. For the main challenge, in teams, the queens will compete to earn the most cash while performing burlesque and selling gift certificates. Pandora chooses Morgan McMichaels, Nicole Paige Brooks, Raven, Sonique and Tatianna for her team. Sahara chooses Jessica Wild, Jujubee, Mystique Summers Madison and Tyra Sanchez for her team. While the teams are getting ready for the challenge, Tyra decides to take a nap, and not help out the rest of her team with their outfits.
On the runway, category is High Class Drag. Team Sahara is declared the winning team, with Sahara winning the overall challenge. Team Pandora is the losing team. Nicole Paige Brooks and Raven are the bottom two, due to having collected the least amount of money. They lip-sync to ""My Lovin' (You're Never Gonna Get It)"" by En Vogue. Raven wins the lip-sync and Nicole Paige Brooks sashays away. 

Guest Judges: Kim Coles and Dita Von Teese
Mini-Challenge: Turn ""Mini-Ru"" doll from a lady to a tramp in teams of two
Mini-Challenge Winners: Pandora Boxx and Sahara Davenport
Main Challenge: Teams compete to earn more cash performing burlesque and selling gift certificates
Runway Theme: High Class Drag
Challenge Winner: Sahara Davenport
Bottom Two: Nicole Paige Brooks and Raven
Lip Sync Song: ""My Lovin' (You're Never Gonna Get It)"" by En Vogue
Eliminated: Nicole Paige Brooks
Farewell Message: ""Be Safe Bitch N.P. Brooks""
"," Turn ""Mini-Ru"" doll from a lady to a tramp in teams of two", Teams compete to earn more cash performing burlesque and selling gift certificates, Pandora Boxx and Sahara Davenport, High Class Drag
Rupaul's Drag Race,2,3,"""Country Queens""",2010-02-15,"
The girls enter the workroom to discover a long table, where most of the girls speculate that they will have to eat something. They're asked to play a game that RuPaul calls ""Chicken, or What?"", in which they participate in a blind taste test of three foods. They have to guess if what they ate was chicken or some other fried food (""what?""). Morgan McMichaels and Mystique Summers Madison win and become team captains for the main challenge. For the main challenge, teams compete as feuding families in a TV commercial for Disco Shortening in country. Morgan chooses Raven, Sahara Davenport, Sonique and Tyra Sanchez for her team. Mystique chooses Jessica Wild, Jujubee, Pandora Boxx and Tatianna for her team. While learning their lines, Ru comes in the workroom and shocks the other queens, they have to switch scripts, and learn new lines.
On the runway, category is County Couture. Jessica Wild, Pandora Boxx and Tyra Sanchez receive positive critiques, with Tyra Sanchez winning the challenge. Mystique Summers Madison and Raven are declared the bottom two and lip-sync to ""I Hear You Knockin'"" by Wynonna Judd. Raven wins the lip-sync and Mystique Summers Madison sashays away.

Guest Judges: Kathy Najimy and Tanya Tucker
Mini-Challenge: ""Chicken or What?"" eating contest
Mini-Challenge Winners: Mystique Summers Madison and Morgan McMichaels
Main Challenge: Teams compete as feuding families in a TV Commercial for Disco Shortening in Country
Runway Theme: Country Couture
Challenge Winner: Tyra Sanchez
Bottom Two: Mystique Summers Madison and Raven
Lip Sync Song: ""I Hear You Knockin'"" by Wynonna Judd
Eliminated: Mystique Summers Madison
Farewell Message: ""Balls 2 the Walls. Fishes or Bitches. You pick. Mystique.""
"," ""Chicken or What?"" eating contest", Teams compete as feuding families in a TV Commercial for Disco Shortening in Country, Mystique Summers Madison and Morgan McMichaels, Country Couture
Rupaul's Drag Race,2,4,"""Snatch Game""",2010-02-22,"
The contestants are given a mini-challenge called ""The Queen is Right"", where the girls are shown drag essential items and asked to bid on how much they believe the item is worth. The contestant who comes closest to the actual price wins. Raven wins the challenge, and she is rewarded by being allowed a one time call home. The queens are then asked to impersonate celebrities as part of a Match Game homage, called ""Snatch Game."" Alec Mapa and Phoebe Price star as the celebrity contestants. The cast consisted of:

Jessica Wild as RuPaul
Jujubee as Kimora Lee
Morgan McMichaels as Pink
Pandora Boxx as Carol Channing
Raven as Paris Hilton
Sahara Davenport as Whitney Houston
Sonique as Lady Gaga
Tatianna as Britney Spears
Tyra Sanchez as Beyoncé
The queens walk the runway in their personal style. Pandora Boxx and Tatianna receive positive critiques, with Tatianna winning the challenge. Jujubee, Morgan McMichaels and Sonique receive negative critiques, with Jujubee being safe. Morgan McMichaels and Sonique lip-sync to ""Two of Hearts (song)"" by Stacey Q. Morgan McMichaels wins the lip-sync and Sonique sashays away.

Guest Judges: Lisa Rinna and Niecy Nash
Mini-Challenge: ""The Queen is Right"" bidding challenge
Mini-Challenge Winner: Raven
Main Challenge: Celebrity impersonations in a Match Game setting
Runway Theme: Personal Style
Challenge Winner: Tatianna
Bottom Two: Morgan McMichaels and Sonique
Lip Sync Song: ""Two of Hearts (song)"" by Stacey Q
Eliminated: Sonique
Farewell Message: ""☮♥ XO Son!que ""Trust"" ""
"," ""The Queen is Right"" bidding challenge", Celebrity impersonations in a Match Game setting, Raven, Personal Style
Rupaul's Drag Race,2,5,"""Here Comes the Bride""",2010-03-01,"
For this week's mini-challenge, the queens have to decorate a white box using provided supplies and an item borrowed from another queen, which Raven wins. RuPaul then announces the main challenge of creating a wedding dress by altering weddings dresses provided to them. As an additional twist, the queens will be shooting wedding portraits using not only their girl drag, but their best guy drag as well by posing as both bride and groom for the portraits. Raven gets first pick of her wedding dress to alter, and then gets to pick the order the rest of the girls pick their dresses out in as well. Drama ensues as Tyra is obnoxiously singing, annoying all of the girls.
On the runway, a fight breaks out between Tyra Sanchez and Tatianna. Jessica Wild, Jujubee, Raven and Tyra Sanchez all receive positive critiques, with Tyra Sanchez winning the challenge. Morgan McMichaels, Sahara Davenport and Tatianna all receive negative critiques, with Tatianna being saved due to having immunity. Morgan McMichaels and Sahara Davenport lip-sync to ""Carry On"" by Martha Wash. Sahara Davenport wins the lip-sync and Morgan McMichaels sashays away.

Guest Judges: Mathu Andersen and Martha Wash
Mini-Challenge: Decorate a box that shows who they are and they must borrow something from another contestant
Mini-Challenge Winner: Raven
Main Challenge: Dress up as the bride and groom in a wedding photo shoot
Challenge Winner: Tyra Sanchez
Bottom Two: Morgan McMichaels and Sahara Davenport
Lip Sync Song: ""Carry On"" by Martha Wash
Eliminated: Morgan McMichaels
Farewell Message: ""All you have to do is DREAM! Morgan XOXO!""
", Decorate a box that shows who they are and they must borrow something from another contestant, Dress up as the bride and groom in a wedding photo shoot, Raven,
Rupaul's Drag Race,2,6,"""Rocker Chicks""",2010-03-08,"
The girls arrive to RuPaul giving them a mini-challenge in which they must style a wig, giving it a glam rock makeover. Pandora is declared the winner. RuPaul reveals the remaining contestants a very special and unique challenge. They must create a rocker chick outfit and perform live vocals to a rock and roll cover to RuPaul's Ladyboy.
Jessica Wild, Pandora Boxx and Raven receive positive critiques, with Jessica Wild winning the challenge. Jujubee, Sahara Davenport and Tyra Sanchez receive negative critiques, with Tyra Sanchez being saved due to having immunity. Jujubee and Sahara Davenport are the bottom two and lip-sync to ""Black Velvet"" by Alannah Myles. Jujubee wins the lip-sync and Sahara Davenport sashays away.

Guest Judges: Henry Rollins and Terri Nunn
Mini-Challenge: Give a wig a glam rock makeover.
Mini-Challenge Winner: Pandora Boxx
Main Challenge: Live rock performance of ""Lady Boy"" by RuPaul
Challenge Winner: Jessica Wild
Bottom Two: Jujubee and Sahara Davenport
Lip Sync Song: ""Black Velvet"" by Alannah Myles
Eliminated: Sahara Davenport
Farewell Message: ""Live, Love and Believe!!! XO. Sahara""
", Give a wig a glam rock makeover.," Live rock performance of ""Lady Boy"" by RuPaul", Pandora Boxx,
Rupaul's Drag Race,2,7,"""Once Upon a Queen""",2010-03-22,"
The remaining girls are given a mini-challenge where they ""read"" (insult) the other contestants. Jujubee wins the mini-challenge, and RuPaul then gives the girls their main challenge for the week. Each contestant is to create an autobiography book cover and title that represents their own personal stories about how doing drag has impacted their lives. As an additional challenge, the girls field questions via a satellite interview, where they must not only present their autobiography but also promote a new Absolut alcoholic beverage.
On the runway, Jujubee, Raven and Tyra Sanchez receive positive critiques, with Raven winning the challenge. Jessica Wild, Pandora Boxx and Tatianna receive negative critiques, with Pandora Boxx being saved. Jessica Wild and Tatianna lip-sync to ""He's the Greatest Dancer"" by Sister Sledge. Tatianna wins the lip-sync and Jessica Wild sashays away.

Guest Judges: Gigi Levangie and Jackie Collins
Mini-Challenge: Reading is Fundamental
Mini-Challenge Winner: Jujubee
Main Challenge: Come up with and promote a concept for an autobiography
Challenge Winner: Raven
Bottom Two: Jessica Wild and Tatianna
Lip Sync Song: ""He's the Greatest Dancer"" by Sister Sledge
Eliminated: Jessica Wild
Farewell Message: ""I love you girls! Viva P.R.! JW.""
", Reading is Fundamental, Come up with and promote a concept for an autobiography, Jujubee,
Rupaul's Drag Race,2,8,"""Golden Gals""",2010-03-29,"
This week's challenges focused entirely on age. For the mini-challenge, the girls had to match all 12 of this season's contestants to their baby pictures, including their own. Tatianna wins the mini-challenge. The main challenge consisted of the girls taking older gay men and transforming them into their drag mothers for the runway. The contestants were also expected to perform a lip-sync with their mothers to RuPaul's song ""Main Event"". Tatianna got to pick who each girl would be teamed up with as her reward for winning the mini-challenge.
On the runway, Raven, Tatianna and Tyra Sanchez received positive critiques, with Raven winning the challenge. Jujubee and Pandora Boxx are the bottom two and lip-sync to ""Shake Your Love"" by Debbie Gibson. Jujubee wins the lip-sync and Pandora Boxx sashays away.

Guest Judges: Debbie Reynolds, Cloris Leachman and Toni Ko
Mini-Challenge: Quickly match the season's 12 contestants with their baby pictures
Mini-Challenge Winner: Tatianna
Main Challenge: Transform older men into drag mothers and perform a lip synch duet with them
Challenge Winner: Raven
Bottom Two: Jujubee and Pandora Boxx
Lip Sync Song: ""Shake Your Love"" by Debbie Gibson
Eliminated: Pandora Boxx
Farewell Message: ""Lick this Boxx, bitch. XOXO Love you all Pandora Boxx""
", Quickly match the season's 12 contestants with their baby pictures, Transform older men into drag mothers and perform a lip synch duet with them, Tatianna,
Rupaul's Drag Race,2,9,"""The Diva Awards""",2010-04-12,"
This week's challenges focused on creating polished looks for different events. For their mini-challenge, the queens had to style and accessorize identical dresses without cutting or gluing them. Tyra is the winner, and she is placed in charge of choreographing an opening number for The Diva Awards, where the queens must put together three looks for three different Diva Award ceremonies: Teen Diva, Diva D.C. Press and Diva Hollywood Extravaganza.
On the runway, Raven and Tyra Sanchez receive positive critiques, with Tyra Sanchez winning the challenge. Jujubee and Tatianna are the bottom two and lip-sync to ""Something He Can Feel"" by Aretha Franklin. Jujubee wins the lip-sync and Tatianna sashays away.

Guest Judges: Tatum O'Neal and Marissa Jaret Winokur
Mini-Challenge: Style and accessorize one of four identical dresses
Mini-Challenge Winner: Tyra Sanchez
Main Challenge: The Diva Awards
Runway Themes: Teen Diva, Diva D.C. Press, and Diva Hollywood Extravaganza
Challenge Winner: Tyra Sanchez
Bottom Two: Jujubee and Tatianna
Lip Sync Song: ""Something He Can Feel"" by Aretha Franklin
Eliminated: Tatianna
Farewell Message: ""Do you 2 the FULLEST! Love TATI""
", Style and accessorize one of four identical dresses, The Diva Awards, Tyra Sanchez," Teen Diva, Diva D.C. Press, and Diva Hollywood Extravaganza"
Rupaul's Drag Race,2,10,"""The Main Event Clip Show""",2010-04-19,"
Highlights and outtakes from the second season's first nine episodes. RuPaul reveals some never-before-seen, behind the scenes moments including the queens impersonating each other, the contestants' family relationships and the unseen moments on the main stage. This is followed by a fast-forward flashback recap of the entire season, followed by an up-close and personal look at the final 3.

Season 1 contestants Ongina, Shannel, and season 1 winner BeBe Zahara Benet join RuPaul to count down the top ten most unforgettable fits and fashions from the season.",,,,
Rupaul's Drag Race,2,11,"""Grand Finale""",2010-04-26,"
Merle and Santino arrive to tell the last three queens about their final challenge - dressing in their best 80s outfits and shooting the music video for RuPaul's next single: ""Jealous of My Boogie"". They will work with guests who include reality star Robert Verdi, who will help the girls with fashion, make-up artist Mathu Andersen, who will direct the video and choreographer Ryan Heffington, who will coach them in a small fight sequence a la Dynasty.[15]
During the shoot, each girl is given a certain script, where they confront RuPaul and get slapped.

Main Challenge: Shooting a music video for ""Jealous Of My Boogie (Gomi and RasJek Edit)"" and acting in a scripted scene with RuPaul inspired by Dynasty
Eliminated: Jujubee 
Farewell Message: ""You are your own worst critic... let go, forgive, & live. Love, Juju B.""
Top Two: Raven and Tyra Sanchez
Lip Sync Song: ""Jealous Of My Boogie (Gomi and RasJek Edit)"" By Rupaul
Runner-up: Raven
Farewell Message: ""Keep reaching for the stars, because you'll never be one - Raven""
Winner of RuPaul's Drag Race Season Two: Tyra Sanchez
",," Shooting a music video for ""Jealous Of My Boogie (Gomi and RasJek Edit)"" and acting in a scripted scene with RuPaul inspired by Dynasty",,
Rupaul's Drag Race,2,12,"""Reunited""",2010-04-26,"
The Season 2 cast reunite to talk about their journey. Discussions include, Morgan McMichaels and Mystique Summers Madison's untucked fight from episode 1, Sonique announcing that she is in the process of gender transitioning and identifies as a girl, Tatianna and Raven argue about what each other said about each other on the show, and all the girls' comments about Tyra Sanchez throughout the show. Pandora Boxx is crowned this season's Miss Congeniality.

Miss Congeniality: Pandora Boxx
",,,,
Rupaul's Drag Race,3,1,"""Casting Extravaganza""",2011-01-24,"
The first episode shows behind the scenes of the casting process for the 2011 edition of ""RuPaul's Drag Race.""  Featured are entrants that were not cast in the series.  All the contestants are profiled. Manila's audition tape includes an endorsement from her boyfriend, season 2's Sahara Davenport.  Raja  reveals she has done make up for some pretty big names in Hollywood and her audition tape includes an endorsement from Adam Lambert.  India Ferrah shows us through video and old photos his early drag career which started at 14.  Mimi and Stacy were premiered as the Big Girls of the Season. Phoenix talks about her start in drag.  Venus D-lite and Delta Work are profiled, and it is revealed that they were chosen as a result of auditioning in front of RuPaul and Santino Rice at an open casting call in Hollywood, California.  This special also features several queens who appear on future seasons: Madame LaQueer and Chad Michaels, who would go on to appear on Season 4, Alaska,  Detox, and Penny Tration who would go on to appear on Season 5, Joslyn Fox who would appear on Season 6, Katya Zamolodchikova, Sasha Belle, Mrs. Kasha Davis and Jasmine Masters who appeared on Season 7, Thorgy Thor and Dax Exclamationpoint from Season 8, and Season 11's Nina West. Audition tapes for new ""Pit Crew"" members with Shawn Morales and Jason Carter being selected to join the team.",,,,
Rupaul's Drag Race,3,2,"""The Queen Who Mopped Xmas""",2011-01-24,"
Twelve new queens vying to be ""America's Next Drag Superstar"" with a surprise twist that the first eliminated second-season competitor Shangela has returned to be the thirteenth competitor. The first mini-challenge was a Christmas-card photo shoot on a trampoline. Raja was declared the winner of the mini-challenge. The girls are then sent to a thrift store to gather items for their holiday-themed runway outfits. 
On the runway, Manila Luzon, Mimi Imfurst and Raja receive positive critiques, with Raja winning the challenge. Carmen Carrera, Shangela and Venus D-Lite received negative critiques, with Carmen Carrera being saved. Shangela and Venus D-Lite then lip-sync to ""The Right Stuff"" by Vanessa Williams. During the lip-sync, Venus is very messy, throwing her wig towards the other queens in the back, and being rough with Shangela. Ru then scolds the two for making her uncomfortable during the lip-sync. Shangela wins the lip-sync and Venus D-Lite sashays away.

Guest Judges: Bruce Vilanch, Mike Ruiz and Vanessa Williams
Mini-Challenge: Christmas Card Photo Shoot
Mini-Challenge Winner: Raja
Main Challenge: Holiday Thrift Store Drag
Challenge Winner: Raja
Main Challenge Prize: A $2,000 gift card to Sequin Queen
Bottom Two: Shangela and Venus D-Lite
Lip Sync Song: ""The Right Stuff"" by Vanessa Williams
Eliminated: Venus D-Lite
Farewell Message: ""Don't be shady!!,  Be a Lady!, Love ya, Venus D-Lite""
", Christmas Card Photo Shoot," A $2,000 gift card to Sequin Queen", Raja,
Rupaul's Drag Race,3,3,"""Queens in Space""",2011-01-31,"
For the mini-challenge, the queens are asked to pair up and do a psychic challenge. Mariah and Phoenix win the mini-challenge and become team captains for the main challenge. For the main challenge, the queens must act in a Sci-Fi movie spoof. Mariah chose Alexis Mateo, Mimi Imfurst, Shangela, Stacy Layne Matthews and Yara Sofia for her team. Phoenix chose Carmen Carrera, Delta Work, India Ferrah, Manila Luzon and Raja for her team.
On the runway, category is Sci-Fi. Team Mariah is the winning team, with Alexis Mateo and Shangela winning the challenge. Team Phoenix was the losing team, with Carmen Carrera, Delta Work and Phoenix receiving negative critiques, with Carmen Carrera being saved. Delta Work and Phoenix then lip-sync to ""Bad Romance"" by Lady Gaga. Delta Work wins the lip-sync and Phoenix sashays away.

Guest Judges: Lily Tomlin and Alessandra Torresani
Mini-Challenge: Psychic Challenge
Mini-Challenge Winner(s): Mariah and Phoenix
Main Challenge: Sci-Fi movie spoofs
Runway Theme: Sci-Fi
Challenge Winner(s): Alexis Mateo and Shangela
Main Challenge Prize: A hand-sculpted silicone breast plate by Boobs for Queens
Bottom Two: Delta Work and Phoenix
Lip Sync Song: ""Bad Romance"" by Lady Gaga
Eliminated: Phoenix
Farewell Message: ""Be You Bitches (Boots) Loves, Phoenix""
", Psychic Challenge, A hand-sculpted silicone breast plate by Boobs for Queens, Mariah and Phoenix,: Sci-Fi
